2026-04-04 16:20:22 | INFO     | service.voiceover_service | ← download_voiceover() [OUT]  filename='outputs/run_20260404_161805/voiceover_d9d19959-a7f4-4d57-b1c9-86acc5b1ecc0.wav', size_kb=550
2026-04-04 16:20:22 | DEBUG    | service.voiceover_service | ← download_voiceover() [OUT] FULL  filename='outputs/run_20260404_161805/voiceover_d9d19959-a7f4-4d57-b1c9-86acc5b1ecc0.wav', size_kb=550
2026-04-04 16:20:22 | INFO     | service.voiceover_service | ← generate_voiceover() [OUT]  local_path='outputs/run_20260404_161805/voiceover_d9d19959-a7f4-4d57-b1c9-86acc5b1ecc0.wav'
2026-04-04 16:20:22 | DEBUG    | service.voiceover_service | ← generate_voiceover() [OUT] FULL  local_path='outputs/run_20260404_161805/voiceover_d9d19959-a7f4-4d57-b1c9-86acc5b1ecc0.wav'
2026-04-04 16:20:22 | INFO     | service.lyria_service | → generate_lyria_music() [IN]  prompt_preview='dark urban hip hop beat, cinematic bass, energetic rap beat, instrumental', duration=15
2026-04-04 16:20:22 | DEBUG    | service.lyria_service | → generate_lyria_music() [IN] FULL  prompt_preview='dark urban hip hop beat, cinematic bass, energetic rap beat, instrumental', duration=15
2026-04-04 16:20:22 | INFO     | service.lyria_service | → submit_lyria_task() [IN]  prompt_preview='dark urban hip hop beat, cinematic bass, energetic rap beat, instrumental, 15 se'
2026-04-04 16:20:22 | DEBUG    | service.lyria_service | → submit_lyria_task() [IN] FULL  prompt_preview='dark urban hip hop beat, cinematic bass, energetic rap beat, instrumental, 15 se'
2026-04-04 16:20:35 | INFO     | service.lyria_service | ← submit_lyria_task() [OUT]  caption_len=1303, base64_len=992812, audio_chunks=1, elapsed_s=12.6
2026-04-04 16:20:35 | DEBUG    | service.lyria_service | ← submit_lyria_task() [OUT] FULL  caption_len=1303, base64_len=992812, audio_chunks=1, elapsed_s=12.6
2026-04-04 16:20:35 | INFO     | service.lyria_service | • generate_lyria_music() [INFO]  caption_preview='Caption: A powerful, modern Cinematic Trap instrumental that merges the high-energy rhythmic conventions of Hip-Hop wit…
2026-04-04 16:20:35 | DEBUG    | service.lyria_service | • generate_lyria_music() [INFO] FULL  caption_preview='Caption: A powerful, modern Cinematic Trap instrumental that merges the high-energy rhythmic conventions of Hip-Hop with the dramatic weight of an orc'
2026-04-04 16:20:35 | INFO     | service.lyria_service | → download_lyria() [IN]  base64_len=992812
2026-04-04 16:20:35 | DEBUG    | service.lyria_service | → download_lyria() [IN] FULL  base64_len=992812
2026-04-04 16:20:35 | INFO     | service.lyria_service | ← download_lyria() [OUT]  filename='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e.mp3', size_kb=727
2026-04-04 16:20:35 | DEBUG    | service.lyria_service | ← download_lyria() [OUT] FULL  filename='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e.mp3', size_kb=727
2026-04-04 16:20:35 | INFO     | service.lyria_service | ← generate_lyria_music() [OUT]  local_path='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e.mp3'
2026-04-04 16:20:35 | DEBUG    | service.lyria_service | ← generate_lyria_music() [OUT] FULL  local_path='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e.mp3'
2026-04-04 16:20:35 | INFO     | service.lyria_service | → lyria_to_wav() [IN]  mp3='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e.mp3', wav='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e_mixed.wav'
2026-04-04 16:20:35 | DEBUG    | service.lyria_service | → lyria_to_wav() [IN] FULL  mp3='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e.mp3', wav='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e_mixed.wav'
2026-04-04 16:20:35 | INFO     | service.lyria_service | ← lyria_to_wav() [OUT]  wav_path='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e_mixed.wav', size_kb=5770
2026-04-04 16:20:35 | DEBUG    | service.lyria_service | ← lyria_to_wav() [OUT] FULL  wav_path='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e_mixed.wav', size_kb=5770
2026-04-04 16:20:35 | INFO     | service.audio_service | → mix_voice_and_music() [IN]  video='outputs/run_20260404_161805/79389955-d6f6-4892-b911-a7cfa63d1282.mp4', voiceover='outputs/run_20260404_161805/voiceover_d9d19959-a7f4-4d57-b1c9-86acc5b1ecc0.wav', music='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e_mixed.wav', music_percent=8, voice_percent=80, music_volume=0.08, voice_volume=0.8
2026-04-04 16:20:35 | DEBUG    | service.audio_service | → mix_voice_and_music() [IN] FULL  video='outputs/run_20260404_161805/79389955-d6f6-4892-b911-a7cfa63d1282.mp4', voiceover='outputs/run_20260404_161805/voiceover_d9d19959-a7f4-4d57-b1c9-86acc5b1ecc0.wav', music='outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e_mixed.wav', music_percent=8, voice_percent=80, music_volume=0.08, voice_volume=0.8
2026-04-04 16:20:35 | INFO     | service.audio_service | • mix_voice_and_music() [INFO]  cmd='/home/luis/code/AIReels/qwen-poc/ffmpeg -y -i outputs/run_20260404_161805/79389955-d6f6-4892-b911-a7cfa63d1282.mp4 -i o…
2026-04-04 16:20:35 | DEBUG    | service.audio_service | • mix_voice_and_music() [INFO] FULL  cmd='/home/luis/code/AIReels/qwen-poc/ffmpeg -y -i outputs/run_20260404_161805/79389955-d6f6-4892-b911-a7cfa63d1282.mp4 -i outputs/run_20260404_161805/voiceover_d9d19959-a7f4-4d57-b1c9-86acc5b1ecc0.wav -i outputs/run_20260404_161805/lyria_e8ce5999-4436-4eef-860d-26dabae0a68e_mixed.wav -filter_complex [1:a]volume=0.8[voice_boost];[2:a]volume=0.08[music_low];[voice_boost][music_low]amix=inputs=2:duration=shortest:dropout_transition=0[mixed] -map 0:v:0 -map [mixed] -c:v copy -c:a aac -b:a 192k -shortest -movflags +faststart outputs/run_20260404_161805/2b75886f-97b4-4edb-bc5b-d05b61ade560_mixed.mp4'
2026-04-04 16:20:35 | INFO     | service.audio_service | ← mix_voice_and_music() [OUT]  output='outputs/run_20260404_161805/2b75886f-97b4-4edb-bc5b-d05b61ade560_mixed.mp4', size_kb=6959
2026-04-04 16:20:35 | DEBUG    | service.audio_service | ← mix_voice_and_music() [OUT] FULL  output='outputs/run_20260404_161805/2b75886f-97b4-4edb-bc5b-d05b61ade560_mixed.mp4', size_kb=6959
2026-04-04 16:20:35 | INFO     | service.subtitle_service | → add_word_by_word_subtitles() [IN]  video='outputs/run_20260404_161805/2b75886f-97b4-4edb-bc5b-d05b61ade560_mixed.mp4', transcript_preview='Wait — this girl just came to life from the wall. Spray pain', duration=15
2026-04-04 16:20:35 | DEBUG    | service.subtitle_service | → add_word_by_word_subtitles() [IN] FULL  video='outputs/run_20260404_161805/2b75886f-97b4-4edb-bc5b-d05b61ade560_mixed.mp4', transcript_preview='Wait — this girl just came to life from the wall. Spray pain', duration=15
2026-04-04 16:20:35 | INFO     | service.subtitle_service | ← _word_by_word_ass_path() [OUT]  ass_path='outputs/run_20260404_161805/feed6441-ba32-412f-943d-4fe11b91ee34_wbw.ass', words=23
2026-04-04 16:20:35 | DEBUG    | service.subtitle_service | ← _word_by_word_ass_path() [OUT] FULL  ass_path='outputs/run_20260404_161805/feed6441-ba32-412f-943d-4fe11b91ee34_wbw.ass', words=23
2026-04-04 16:20:35 | INFO     | service.subtitle_service | • add_word_by_word_subtitles() [INFO]  cmd="/home/luis/code/AIReels/qwen-poc/ffmpeg -y -i outputs/run_20260404_161805/2b75886f-97b4-4edb-bc5b-d05b61ade560_mixed.mp…
2026-04-04 16:20:35 | DEBUG    | service.subtitle_service | • add_word_by_word_subtitles() [INFO] FULL  cmd="/home/luis/code/AIReels/qwen-poc/ffmpeg -y -i outputs/run_20260404_161805/2b75886f-97b4-4edb-bc5b-d05b61ade560_mixed.mp4 -vf ass='outputs/run_20260404_161805/feed6441-ba32-412f-943d-4fe11b91ee34_wbw.ass':fontsdir='/usr/share/fonts/truetype/dejavu' -c:v libx264 -preset fast -crf 20 -c:a copy -movflags +faststart outputs/run_20260404_161805/8c84162e-a6c3-40fd-8d01-c257f1bd28b6_wbw_subtitled.mp4"
2026-04-04 16:20:38 | INFO     | service.subtitle_service | ← add_word_by_word_subtitles() [OUT]  output='outputs/run_20260404_161805/8c84162e-a6c3-40fd-8d01-c257f1bd28b6_wbw_subtitled.mp4', size_kb=5515
2026-04-04 16:20:38 | DEBUG    | service.subtitle_service | ← add_word_by_word_subtitles() [OUT] FULL  output='outputs/run_20260404_161805/8c84162e-a6c3-40fd-8d01-c257f1bd28b6_wbw_subtitled.mp4', size_kb=5515
2026-04-04 16:20:38 | INFO     | service.endcard_service | → add_endcard() [IN]  video='outputs/run_20260404_161805/8c84162e-a6c3-40fd-8d01-c257f1bd28b6_wbw_subtitled.mp4', cta_follow='@aireels', cta_url='aireels.com', duration=3.0
